제품코드,제품명,성분코드,성분명,1일최대투여량,1일최대 투여기준량,점검기준 성분함량 (총함량),급여구분,공고번호,공고일자
52700040,로테인정(로사르탄칼륨)_(50mg/1정),185701ATB,Losartan,로사르탄칼륨 100mg,100,50,급여,20210599,2021-12-16
647301200,피오틴정15밀리그램(피오글리타존염산염)_(16.53mg/정),431901ATB,Pioglitazone,피오글리타존 30mg,30,15,급여,20210599,2021-12-16
698004310,제뉴파마피오글리타존정(피오글리타존염산염)_(33.06mg/1정),431902ATB,Pioglitazone,피오글리타존 30mg,30,30,급여,20210599,2021-12-16
653601420,가브스메트정50/850밀리그램_(1정),507000ATB,Metformin/Vildagliptin,"메트포르민2,000mg/빌다글립틴 100mg",100,50,급여,20210599,2021-12-16
653601430,가브스메트정50/1000밀리그램_(1정),507100ATB,Metformin/Vildagliptin,"메트포르민2,000mg/빌다글립틴 100mg",100,50,급여,20210599,2021-12-16
52701200,크리스탈로수바스타틴정10밀리그램(로수바스타틴칼슘)_(10.4mg/1정),454001ATB,Rosuvastatin,로수바스타틴 20mg,20,10,급여,20210599,2021-12-16
698003530,프레캅캡슐150밀리그램(프레가발린)_(0.15g/1캡슐),480402ACH,Pregabalin,프레가발린 600mg,600,150,급여,20210599,2021-12-16
52701190,크리스탈로수바스타틴정5밀리그램(로수바스타틴칼슘)_(5.2mg/1정),454003ATB,Rosuvastatin,로수바스타틴 20mg,20,5,급여,20210599,2021-12-16
640006780,이노엔메트포르민서방정(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
641705480,일양메트포서방정(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
654004070,글루파민서방정500밀리그램(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
655403260,그리코민서방정500밀리그램(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
693200660,글로포민서방정(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
651204030,글루세라서방정500mg(메트포르민염산염)_(0.5g/1정),191502ATR,Metformin,"메트포르민염산염 2,000mg",2000,500,급여,20210599,2021-12-16
